Nr,x,y,z,Kodi,Përshkrimi,Burimi
220086M,7512362.377,4694374.636,620.6713,11,Monoment,PM
54378,7511229.205,4693365.59,621.062,2,Kunjë - shtyllë metalik,PM
54379,7511231.01,4693387.91,621.371,2,Kunjë - shtyllë metalik,PM
54380,7511237.104,4693416.407,620.196,2,Kunjë - shtyllë metalik,PM
54392,7511193.065,4693307.935,621.051,2,Kunjë - shtyllë metalik,PM
54393,7511178.019,4693327.201,620.722,2,Kunjë - shtyllë metalik,PM
54394,7511196.688,4693355.409,620.504,2,Kunjë - shtyllë metalik,PM
54395,7511215.132,4693383.411,620.168,2,Kunjë - shtyllë metalik,PM
54396,7511222.247,4693394.018,620.53,2,Kunjë - shtyllë metalik,PM
1,7511216.108,4693344.697,621.173,2,Kunjë - shtyllë metalik,PM
2,7511197.643,4693356.859,620.41,2,Kunjë - shtyllë metalik,PM
